En esta lista se detallan los «términos compuestos» que la herramienta [[Usuario:Benjavalero/Replacer|Replacer]] detecta como potencialmente erróneos.

El formato es el mismo que el del [[Wikipedia:Corrector ortográfico/Listado|listado de términos simples]], con la salvedad de que este listado extiende al anterior con términos o expresiones que contienen caracteres no alfabéticos: espacios, números, etc. Las recomendaciones aplican igualmente.
<!-- Procurar el orden alfabético -->

{{Índice|num=sí|sim=sí}}

== 0-9 ==

 1 sólo||un solo, Un solo, 1 solamente, uno solamente
 1º de Agosto|cs|1.º de Agosto, Primero de Agosto
 1º de Mayo|cs|1.º de Mayo, Primero de Mayo
 1° de Mayo|cs|1.º de Mayo, Primero de Mayo
 1ro de Mayo|cs|1.º de Mayo, Primero de Mayo
 50 m.||50&nbsp;m (los símbolos de medida se escriben sin punto —cuidado si es fin de frase—), 50&nbsp;m. (para fin de frase)
 60 m.||60&nbsp;m (los símbolos de medida se escriben sin punto —cuidado si es fin de frase—), 60&nbsp;m. (para fin de frase)
 100 m.||100&nbsp;m (los símbolos de medida se escriben sin punto —cuidado si es fin de frase—), 100&nbsp;m. (para fin de frase)
 110 m.||110&nbsp;m (los símbolos de medida se escriben sin punto —cuidado si es fin de frase—), 110&nbsp;m. (para fin de frase)
 200 m.||200&nbsp;m (los símbolos de medida se escriben sin punto —cuidado si es fin de frase—), 200&nbsp;m. (para fin de frase)
 400 m.||400&nbsp;m (los símbolos de medida se escriben sin punto —cuidado si es fin de frase—), 400&nbsp;m. (para fin de frase)
 800 m.||800&nbsp;m (los símbolos de medida se escriben sin punto —cuidado si es fin de frase—), 800&nbsp;m. (para fin de frase)
 1000 m.||1000&nbsp;m (los símbolos de medida se escriben sin punto —cuidado si es fin de frase—), 1000&nbsp;m. (para fin de frase)
 1500 m.||1500&nbsp;m (los símbolos de medida se escriben sin punto —cuidado si es fin de frase—), 1500&nbsp;m. (para fin de frase)
 3000 m.||3000&nbsp;m (los símbolos de medida se escriben sin punto —cuidado si es fin de frase—), 3000&nbsp;m. (para fin de frase)
 3.000 m.||3000&nbsp;m (los símbolos de medida se escriben sin punto —cuidado si es fin de frase—), 3000&nbsp;m. (para fin de frase)
 5000 m.||5000&nbsp;m (los símbolos de medida se escriben sin punto —cuidado si es fin de frase—), 5000&nbsp;m. (para fin de frase)
 5.000 m.||5000&nbsp;m (los símbolos de medida se escriben sin punto —cuidado si es fin de frase—), 5000&nbsp;m. (para fin de frase)
 10000 m.||10&nbsp;000&nbsp;m (los símbolos de medida se escriben sin punto —cuidado si es fin de frase—), 10&nbsp;000&nbsp;m. (para fin de frase)
 10.000 m.||10&nbsp;000&nbsp;m (los símbolos de medida se escriben sin punto —cuidado si es fin de frase—), 10&nbsp;000&nbsp;m. (para fin de frase)
 15000 m.||15&nbsp;000&nbsp;m (los símbolos de medida se escriben sin punto —cuidado si es fin de frase—), 15&nbsp;000&nbsp;m. (para fin de frase)
 15.000 m.||15&nbsp;000&nbsp;m (los símbolos de medida se escriben sin punto —cuidado si es fin de frase—), 15&nbsp;000&nbsp;m. (para fin de frase)

== A ==
 a alturas||a altitudes («altitud» es sobre el nivel del mar), a alturas («altura» es sobre el terreno o superficie inmediatamente inferior)
 aC.|cs|a.&nbsp;C. («antes de Cristo» —con espacio duro—)
 a.C.|cs|a.&nbsp;C. («antes de Cristo» —con espacio duro—)
 a.C|cs|a.&nbsp;C. («antes de Cristo» —con espacio duro—)
 a. C.|cs|a.&nbsp;C. («antes de Cristo» —con espacio duro—)
 a cambió||a cambio
 a capella||a&nbsp;capela (en español), ''a&nbsp;cappella'' (en italiano, en cursiva, solamente para partituras)
 actualmente en vigor||en vigor, vigente, vigentes
 adc|cs|a.&nbsp;C. («antes de Cristo» —con espacio duro—)
 AdC|cs|a.&nbsp;C. («antes de Cristo» —con espacio duro—)
 adC|cs|a.&nbsp;C. («antes de Cristo» —con espacio duro—)
 a de C.||a.&nbsp;C. («antes de Cristo» —con espacio duro—)
 a. de C.||a.&nbsp;C. («antes de Cristo» —con espacio duro—)
 a demás||además (adverbio)
 ad-hoc||''ad&nbsp;hoc''
 ad honorem||''ad&nbsp;honorem'', ''Ad&nbsp;honorem'' (para inicios de frase o columnas de tablas)
 ad honórem||''ad&nbsp;honorem'', ''Ad&nbsp;honorem'' (para inicios de frase o columnas de tablas)
 ad honoren||''ad&nbsp;honorem'', ''Ad&nbsp;honorem'' (para inicios de frase o columnas de tablas)
 Ad honorem|cs|''ad&nbsp;honorem'', ''Ad&nbsp;honorem'' (para inicios de frase o columnas de tablas)
 Administración Publica|cs|Administración Pública
 a.e.c.||a.&nbsp;C. (con espacio duro; abreviatura de «antes de Cristo»; recomendada), a.&nbsp;e.&nbsp;c. (con espacios duros; abreviatura de «antes de la era común»)
 a. e. c.||a.&nbsp;C. (con espacio duro; abreviatura de «antes de Cristo»; recomendada), a.&nbsp;e.&nbsp;c. (con espacios duros; abreviatura de «antes de la era común»)
 a el|cs|al, a él, a El
 afro americana||afroamericana
 afro-americana||afroamericana
 afro americanas||afroamericanas
 afro-americanas||afroamericanas
 afro americano||afroamericano
 afro-americano||afroamericano
 afro americanos||afroamericanos
 afro-americanos||afroamericanos
 afro asiatica||afroasiática
 afro-asiatica||afroasiática
 afro asiática||afroasiática
 afro-asiática||afroasiática
